Task Code,Task Description,Status,WBS,Building,Area,Level,Room,Phase,Subcontractor,Trade,Responsible Person,Bid Package,Planned Start,Planned Finish,Actual Start,Actual Finish,Early Start,Early Finish,Late Start,Late Finish,Remaining Duration (hrs),Planned Duration (hrs),Physical % Complete
CN.BB31.ST.1380,"COLUMN CRACK REPAIR - INSTALL FORM , CURE & REMOVE FORM- 4thPriority",Complete,CONSTRUCTION,,A1 - Area 6 (Gridlines 18-15),L2 - SubFab Level,,CONSTRUCTION,,Pour Concrete,,,2024-03-17 07:00,2024-03-26 17:00,2024-03-16 08:00,2024-03-22 14:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,80,100
CN.BB31.ST.1390,"COLUMN CRACK REPAIR- PREP, PRIME & LAY CFRP - 4th Priority",Complete,CONSTRUCTION,,A1 - Area 6 (Gridlines 18-15),L2 - SubFab Level,,CONSTRUCTION,,Pour Concrete,,,2024-03-27 15:00,2024-03-28 13:00,2024-03-27 15:00,2024-04-02 13:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,8,100
CN.BB31.ST.1400,"COLUMN CRACK REPAIR - PULL TEST, REPAIR PULL TEST & PAINT- 4thPriority",Complete,CONSTRUCTION,,A1 - Area 6 (Gridlines 18-15),L2 - SubFab Level,,CONSTRUCTION,,Pour Concrete,,,2024-04-15 07:00,2024-04-18 09:00,2024-04-08 11:00,2024-04-09 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,32,100
CN.BB31.ST.1410,COLUMN CRACK REPAIR - SURFACE PREP & AMATECH REBAR INSTALL - 5th Priority,Complete,CONSTRUCTION,,A2 - Area 5 (Gridlines 15-12),L2 - SubFab Level,,CONSTRUCTION,,,,,2024-03-09 08:00,2024-03-11 12:00,2024-03-09 08:00,2024-03-12 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,24,100
CN.BB31.ST.1420,"COLUMN CRACK REPAIR FORM, SATURATION & SIKA 211 INJECTION- 5th Priority",Complete,CONSTRUCTION,,A2 - Area 5 (Gridlines 15-12),L2 - SubFab Level,,CONSTRUCTION,,Pour Concrete,,,2024-03-17 07:00,2024-03-19 11:00,2024-03-15 07:00,2024-03-17 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,24,100
CN.BB31.ST.1430,"COLUMN CRACK REPAIR - INSTALL FORM , CURE & REMOVE FORM- 5thPriority",Complete,CONSTRUCTION,,A2 - Area 5 (Gridlines 15-12),L2 - SubFab Level,,CONSTRUCTION,,Pour Concrete,,,2024-03-18 08:00,2024-03-31 10:00,2024-03-18 08:00,2024-03-22 15:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,112,100
CN.BB31.ST.1440,"COLUMN CRACK REPAIR- PREP, PRIME & LAY CFRP - 5th Priority",Complete,CONSTRUCTION,,A2 - Area 5 (Gridlines 15-12),L2 - SubFab Level,,CONSTRUCTION,,Pour Concrete,,,2024-03-27 13:00,2024-03-29 09:00,2024-03-27 13:00,2024-04-02 09:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,16,100
CN.BB31.ST.1450,"COLUMN CRACK REPAIR - PULL TEST, REPAIR PULL TEST & PAINT - 5th Priority - A2 - GL 15-12 - L2",Complete,CONSTRUCTION,,A2 - Area 5 (Gridlines 15-12),L2 - SubFab Level,,CONSTRUCTION,INFINITY,Pour Concrete,,,2024-05-10 07:00,2024-05-20 17:00,2024-05-10 07:00,2024-05-16 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,60,100
INT.P2.MW.1300,SHOP DRAWING APPROVAL REVISE & RESUBMIT COUNTER TOPS,Complete,CONSTRUCTION,,COUNTERTOPS,MILLWORK,,PRE - CON / BUYOUT / IMPACTS,H2I,,,,2024-02-29 08:00,2024-03-29 14:00,2024-02-29 07:00,2024-04-04 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-20 07:00,2025-11-20 07:00,0,176,100
CN.SEB1.6870,LT-0353 GRATING REPLACEMENT ORDER - SEA1 - GL 19-24 - L2,Complete,CONSTRUCTION,,STEEL,L1 - Fndn Slab,,PRE - CON / BUYOUT / IMPACTS,,Steel Erector - W&W,,,2024-02-19 08:00,2024-02-29 08:00,2024-02-28 07:00,2024-04-04 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,80,100
CN.SWA1.6630,IMPACT - WW CCD 127 L4E ROOF DRAIN PENETRATION STEEL - SWB-1- GL 18-15 - L4E,Complete,CONSTRUCTION,,SUWS-1 - 18-15,DS/AD,,CONSTRUCTION,,Decking & Detail,,,2024-04-25 07:00,2024-05-30 17:00,2024-03-09 07:00,2024-04-01 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,200,100
CN.SWB2.1200,IMPACT - STARCON CRANE IMPACTING EXTERIOR - GL 17-21 - N LINE [SUP EXTERIOR WALL] (COLLAPSED / REMOVED FROM SITE),Complete,CONSTRUCTION,,SUWN-1 - 18-21,EXTERIOR SKIN,,CONSTRUCTION,KOVACH,INSULATED METAL PANELS,,,2024-02-22 08:00,2024-02-28 08:00,2024-02-22 07:00,2024-04-30 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,40,100
CN.AB.AR.2130,INSTALL GRATING AROUND STAIRS - STAIR 21 - MECHANICAL ROOM 1 NORTH - SEA3 - GL 13-9 - C-A - L1,Complete,CONSTRUCTION,,SUES-3 - 13-9,L1 - Fndn Slab,MECH RM 1,CONSTRUCTION,PATRIOT,Steel Erection,,,2023-10-27 07:00,2023-10-30 17:00,2023-10-27 07:00,2023-11-01 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,20,100
CN.SEB15200,INSTALL GRATING AROUND STAIRS - METAL STAIR 20 - SEA1 - GL 18-19 - C-A - L3-L4,Complete,CONSTRUCTION,,SUES-1 - 19-16,L3 / Waffle Slab Level,,CONSTRUCTION,PATRIOT,Steel Erection,,,2024-05-10 07:00,2024-05-13 17:00,2024-05-10 07:00,2024-05-11 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-03 07:00,2025-12-03 07:00,0,20,100
CN.SEB3.1251,INSTALL GRATING AROUND STAIRS - - SEB3 - GL 25-28 - L1 - C-A - WAFER I/O,Complete,CONSTRUCTION,,SUEN-3 - 25-28,L1 - Fndn Slab,WAFER I/O RM,CONSTRUCTION,,Steel Erection,,,2024-04-08 07:00,2024-04-11 13:00,2024-03-21 08:00,2024-03-22 15:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-26 07:00,2025-11-26 07:00,0,16,100
CN.SWB5.6820,INSTALL GRATING AROUND STAIR 50 - SWB-5 GL 30-29 - L-K,Not Started,CONSTRUCTION,,SUWN-4 - 27-30,L1 - Fndn Slab,DS/AD INTERIORS,CONSTRUCTION,PATRIOT,Steel Erection,,,2025-11-21 07:00,2025-11-24 17:00,,,2025-11-21 07:00,2025-11-24 17:00,2025-12-04 07:00,2025-12-05 17:00,20,20,0
CN.SWB1.5100,IMPACT EXPANSION JOINT POUR BACK - GL 9 - L4,Complete,CONSTRUCTION,,SUES-3 - 13-9,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,BAKER,TOPPING,,,2024-06-07 07:00,2024-06-14 17:00,2024-05-20 07:00,2024-05-31 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,50,100
CN.SWA3.1950,EXPANSION JOINT WATER PROOFING - GL 9 - L4,Complete,CONSTRUCTION,,SUES-3 - 13-9,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,BRAZOS,TOPPING,,,2024-06-14 07:00,2024-06-21 17:00,2024-06-06 07:00,2024-06-26 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,50,100
CN.SWA3.1960,EXPANSION JOINT TOPPING SLAB - GL 9 - L4,Complete,CONSTRUCTION,,SUES-3 - 13-9,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,BAKER,TOPPING,,,2024-07-01 07:00,2024-07-09 17:00,2024-06-27 07:00,2024-06-27 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,50,100
CN.SWB1.5110,IMPACT EXPANSION JOINT POUR BACK GL 25,Complete,CONSTRUCTION,,SUEN-3 - 25-28,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,BAKER,TOPPING,,,2024-10-04 07:00,2024-10-11 17:00,2023-09-23 07:00,2023-09-26 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,50,100
INT.P1.FP.1240,IMPACT SECAI PLAFORM APPROVAL & INSTALL FOR DS STEEL SPRAY SRFM,Complete,CONSTRUCTION,,Fireproofing,FIREPROOFING,,PRE - CON / BUYOUT / IMPACTS,ROLLING PLAINS,,,,2024-03-11 07:00,2024-04-15 17:00,2024-03-11 07:00,2024-04-08 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,200,100
CN.SEA1.6550,IMPACT [ES-15] - SECAI MEP LEAVEOUT / SUPER DECK IN USE - GL 17-16 - A LINE [SUP EXTERIOR WALL],Complete,CONSTRUCTION,,SUES-1 - 19-16,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-05-24 07:00,2024-06-24 17:00,2024-03-07 07:00,2024-07-09 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-09-04 07:00,2025-09-04 07:00,0,170,100
CN.SWA5.1300,IMPACT [E.TIA-1/E.TIA-7] - STARCON CRANE / MEP SUPERDECK INTERFERING WITH AREA G 3-1 - N LINE [SUP EXTERIOR WALL],Complete,CONSTRUCTION,,FIZ 2 / SUWS 5  (GL6-1) - GL J - N - DATA CENTER 1,EXTERIOR SKIN,,CONSTRUCTION,,INSULATED METAL PANELS,,,2024-03-25 07:00,2024-04-03 17:00,2024-03-09 07:00,2024-04-01 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-09-04 07:00,2025-09-04 07:00,0,80,100
CN.SWB5.1260,IMPACT - STARTCON CRANE IN THE WAY GL 31-32,Complete,CONSTRUCTION,,SUWN-5 - 30-33,EXTERIOR SKIN,,CONSTRUCTION,,INSULATED METAL PANELS,,,2024-03-18 07:00,2024-03-23 17:00,2024-03-18 07:00,2024-04-01 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,40,100
CN.AB.AR.4300,IMPACT [D25 / D26] - W&W OVERHEAD WORK INTERUPTION - MECHANICAL ROOM 3 SOUTH - SEA1 - GL 19-16 - C-A - L1,Complete,CONSTRUCTION,,SUES-1 - 19-16,L1 - Fndn Slab,MECH RM 2,CONSTRUCTION,SECAI,TBD Architectural Finishes,,,2024-03-11 07:00,2024-03-19 17:00,2024-02-28 07:00,2024-09-02 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-24 07:00,2025-11-24 07:00,0,40,100
CN.FIZ1.2140,IMPACT [D46] - AREA BLOCKED BY MEP MATERIAL - FIZ3 - GL 1-3 - E-G - L3,Complete,CONSTRUCTION,,FIZ3 (East Inner) GL G-E,L3 / Waffle Slab Level,FIZ,CONSTRUCTION,SECAI,DRYWALL,,,2024-03-11 07:00,2024-03-19 17:00,2024-02-28 07:00,2024-05-31 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-13 17:00,2025-11-13 17:00,0,40,100
CN.SEB1.6890,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 18-21 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWN-1 - 18-21,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-05-07 07:00,2024-05-10 17:00,2024-05-23 07:00,2024-06-14 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SEB1.6900,PAINT BOLTS - INSULATED METAL PANELS - GL 18-21 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWN-1 - 18-21,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-06-14 07:00,2024-06-21 17:00,2024-06-17 07:00,2024-06-25 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,50,100
CN.SEB1.6910,PAINT BOLTS - INSULATED METAL PANELS - GL 21-24 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWN-2 - 21-24,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-04-22 07:00,2024-04-25 17:00,2024-04-17 07:00,2024-04-22 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,40,100
CN.SEB1.6920,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 21-24 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWN-2 - 21-24,EXTERIOR SKIN,,CONSTRUCTION,,INSULATED METAL PANELS,,,2024-04-04 08:30,2024-04-08 12:30,2024-04-04 08:30,2024-04-06 13:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,24,100
CN.SWB3.4960,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 24-27 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWN-3 - 24-27,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-04-17 07:00,2024-04-19 17:00,2024-04-17 07:00,2024-04-19 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SWB3.4970,PAINT BOLTS - INSULATED METAL PANELS - GL 24-27 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWN-3 - 24-27,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-04-29 07:00,2024-05-03 17:00,2024-04-23 07:00,2024-04-30 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,40,100
CN.SEB1.6930,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 27-31 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWN-4 - 27-30,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-05-06 07:00,2024-05-09 17:00,2024-05-01 07:00,2024-05-02 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SEB1.6940,PAINT BOLTS - INSULATED METAL PANELS - GL 27-31 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWN-4 - 27-30,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-05-09 07:00,2024-05-14 17:00,2024-05-02 07:00,2024-05-13 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,40,100
CN.SEB1.6950,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 18-21 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWN-1 - 18-21,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-04-17 07:00,2024-04-19 17:00,2024-04-17 07:00,2024-04-18 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SEB1.6960,PAINT BOLTS - INSULATED METAL PANELS - GL 18-21 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWN-1 - 18-21,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-05-20 07:00,2024-05-23 17:00,2024-05-13 07:00,2024-05-20 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SEB1.6970,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 21-24 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWN-2 - 21-24,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-05-03 07:00,2024-05-07 17:00,2024-04-23 07:00,2024-04-24 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SEB1.6980,PAINT BOLTS - INSULATED METAL PANELS - GL 21-24 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWN-2 - 21-24,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-05-03 07:00,2024-05-07 17:00,2024-04-24 07:00,2024-04-28 11:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SEB1.6990,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 24-27 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWN-3 - 24-27,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-05-03 07:00,2024-05-07 17:00,2024-04-20 07:00,2024-04-22 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SWB3.4980,PAINT BOLTS - INSULATED METAL PANELS - GL 24-27 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWN-3 - 24-27,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-05-20 07:00,2024-05-23 17:00,2024-05-11 07:00,2024-05-15 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SEB1.7000,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 27-30 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWN-4 - 27-30,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-04-29 07:00,2024-05-02 17:00,2024-04-26 07:00,2024-05-01 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SEB1.7010,PAINT BOLTS - INSULATED METAL PANELS - GL 27-30 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWN-4 - 27-30,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-05-10 07:00,2024-05-14 17:00,2024-05-09 07:00,2024-05-13 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SEB1.7020,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 30-33 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWN-5 - 30-33,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-05-03 07:00,2024-05-07 17:00,2024-04-29 07:00,2024-05-01 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SWB5.1300,PAINT BOLTS - INSULATED METAL PANELS - GL 30-33 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWN-5 - 30-33,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-05-06 07:00,2024-05-09 17:00,2024-05-01 07:00,2024-05-09 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,30,100
CN.SEB1.7040,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL - GL 6-3 - K LINE (AD AREA),Complete,CONSTRUCTION,,FIZ 2 / SUWS 5  (GL6-1) - GL J - N - DATA CENTER 1,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-06-07 07:00,2024-06-11 17:00,2024-05-31 07:00,2024-06-01 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SEB1.7050,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 6-5 - L LINE (DS AREA),Complete,CONSTRUCTION,,FIZ 2 / SUWS 5  (GL6-1) - GL J - N - DATA CENTER 1,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-06-28 07:00,2024-07-02 17:00,2024-06-21 07:00,2024-06-25 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SWA5.1310,PAINT BOLTS - INSULATED METAL PANELS - GL 6-3 - K LINE (AD AREA),Complete,CONSTRUCTION,,FIZ 2 / SUWS 5  (GL6-1) - GL J - N - DATA CENTER 1,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-06-11 07:00,2024-06-14 17:00,2024-06-05 07:00,2024-06-10 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SWA5.1910,PAINT BOLTS - INSULATED METAL PANELS - GL 6-5 - L LINE (DS AREA),Complete,CONSTRUCTION,,FIZ 2 / SUWS 5  (GL6-1) - GL J - N - DATA CENTER 1,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-07-15 07:00,2024-07-17 17:00,2024-07-05 07:00,2024-07-11 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SEB1.7060,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 9-6 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWS-4 - 9-6,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-06-21 07:00,2024-06-25 17:00,2024-06-17 07:00,2024-06-22 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SEB1.7070,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL - GL 9-6 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWS-4 - 9-6,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-05-28 07:00,2024-05-31 17:00,2024-05-25 07:00,2024-05-29 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SEB1.7080,PAINT BOLTS - INSULATED METAL PANELS - GL 9-6 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWS-4 - 9-6,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-06-10 07:00,2024-06-13 17:00,2024-05-31 07:00,2024-06-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SEB1.7090,PAINT BOLTS - INSULATED METAL PANELS - GL 9-6 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWS-4 - 9-6,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-07-08 07:00,2024-07-15 17:00,2024-07-03 07:00,2024-07-11 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,50,100
CN.SEB1.7100,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 12-9 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWS-3 - 12-9,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-06-21 07:00,2024-06-25 17:00,2024-06-17 07:00,2024-06-22 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SEB1.7110,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL - 12-9 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWS-3 - 12-9,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-05-28 07:00,2024-05-31 17:00,2024-05-25 07:00,2024-06-01 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SWA3.1620,PAINT BOLTS - INSULATED METAL PANELS - GL 12-9 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWS-3 - 12-9,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-07-05 07:00,2024-07-12 17:00,2024-06-28 07:00,2024-07-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,50,100
CN.SWA3.2010,PAINT BOLTS - INSULATED METAL PANELS - GL 12-9 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWS-3 - 12-9,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-06-10 07:00,2024-06-13 17:00,2024-05-26 07:00,2024-05-31 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SEB1.7120,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 15-12 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWS-2 - 15-12,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-06-21 07:00,2024-06-25 17:00,2024-06-17 07:00,2024-06-22 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SEB1.7130,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 12-15 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWS-2 - 15-12,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-05-13 07:00,2024-05-16 17:00,2024-05-08 07:00,2024-05-09 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SWA2.1610,PAINT BOLTS - INSULATED METAL PANELS - GL 15-12 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWS-2 - 15-12,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-06-28 07:00,2024-07-08 17:00,2024-06-26 07:00,2024-06-29 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,50,100
CN.SWA2.6620,PAINT BOLTS - INSULATED METAL PANELS - GL 12-15 - K LINE (AD AREA),Complete,CONSTRUCTION,,SUWS-2 - 15-12,EXTERIOR SKIN,,CONSTRUCTION,ALPHA,INSULATED METAL PANELS,,,2024-05-28 07:00,2024-05-31 17:00,2024-05-20 07:00,2024-05-25 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
CN.SEB1.7140,IMPACT - MEP OPENING REWORK INSPECT - CLADDING STEEL GL 15-18 - L LINE (DS AREA),Complete,CONSTRUCTION,,SUWS-1 - 18-15,EXTERIOR SKIN,,CONSTRUCTION,PATRIOT,INSULATED METAL PANELS,,,2024-06-24 07:00,2024-06-27 17:00,2024-06-13 07:00,2024-06-17 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,30,100
